RAGIONE SOCIALE; INDIRIZZO;PROVINCIA;COMUNE;CAP;TELEFONO;WHATSAPP;EMAIL;SITO INTERNET;DETAILS LINK
Gima Edilarte Srl;Via Nocera Inferiore, 20;RM;Roma;70464;06 86787803, 338 5477834;338 5477834;gimaedilarte@gmail.com;https://gimaholding.com/;https://www.paginegialle.it/gimaedilartesrl
Scacco Costruzioni S.r.l.;Via del Pisciarello;RM;Poli;64740;06 9551649, 393 4408912, 339 5770796;393 4408912, 339 5770796;;;https://www.paginegialle.it/poli-rm/imprese-edili/scacco-costruzioni
Amario S.r.l.;Via delle Scuole, 10;RM;San Polo dei Cavalieri;76650;0774 415184, 339 3262345, 333 9135592;339 3262345, 333 9135592;;;https://www.paginegialle.it/san-polo-dei-cavalieri-rm/imprese-edili/amario-s-r-l
Cgim Societa' a Responsabilita' Limitata;Via dei Pini, 18;RM;Montelibretti;54350;0774 631238;;;;https://www.paginegialle.it/montelibretti-rm/imprese-edili/cgim
Cherubini Gianluca;Via Provinciale di Montelibretti;RM;Moricone;55850;337 760837, 328 3075766;337 760837, 328 3075766;;;https://www.paginegialle.it/moricone-rm/imprese-edili/cherubini-gianluca
Corma Costruzioni di Filip Marcela Emanuela;Via del Collacchio, 1;RM;Gallicano nel Lazio;40750;320 9556028;320 9556028;;;https://www.paginegialle.it/gallicano-nel-lazio-rm/imprese-edili/corma-costruzioni-di-filip-marcela-emanuela
D'Achille Costruzioni S.r.l.;Corso Umberto I, 79;RM;Montelibretti;54350;0774 608046;;;;https://www.paginegialle.it/montelibretti-rm/imprese-edili/achille-costruzioni
De Cinti Giulio;Via Umberto I, 19;RM;Poli;64740;06 9551201, 338 9406431;338 9406431;;;https://www.paginegialle.it/poli-rm/de-cinti-giulio
Ediltop 99 di Fenicchia Luca e Porcari Leopoldo Luca S.n.c.;Via Cristoforo Colombo, 3;RM;Marcellina;49260;0774 426223;;;;https://www.paginegialle.it/marcellina-rm/imprese-edili/ediltop-99-fenicchia-luca-porcari-leopoldo-luca
Eman di D'Agostini Bruno;Via del Casalino, 16;RM;Montorio Romano;55530;0774 641031;;;;https://www.paginegialle.it/montorio-romano-rm/imprese-edili/eman-agostini-bruno
Giape di Petrongari Domenico Giulio Societa' in Nome Collettivo;Via Martiri del Congo, 15;RM;Montorio Romano;55530;0774 62657;;;;https://www.paginegialle.it/montorio-romano-rm/imprese-edili/giape-giannetti-pietro-petrongari-societa-nome-col
La Murena Snc di Bolli;Via Portici, 40;RM;Moricone;55850;339 6081811;339 6081811;;;https://www.paginegialle.it/moricone-rm/imprese-edili/la-murena-snc-di-bolli
Martucci Massimo;Via Roma, 13;RM;San Gregorio da Sassola;74970;0774 480147;;;;https://www.paginegialle.it/san-gregorio-da-sassola-rm/imprese-edili/martucci-massimo
Molinari S.r.l.;Via della Pineta, 41;RM;Monteflavio;53990;0774 601717;;;;https://www.paginegialle.it/monteflavio-rm/imprese-edili/molinari
Neroni Giuseppe;Via Traglione, 7;RM;Gallicano nel Lazio;40750;06 95460464;;;;https://www.paginegialle.it/gallicano-nel-lazio-rm/imprese-edili/neroni-giuseppe
Proietti Danilo;Vicolo Mionni, 6;RM;Poli;64740;06 9551420;;;;https://www.paginegialle.it/poli-rm/imprese-edili/proietti-danilo
Restauri MC S.r.l.s.;Via Caipoli, 116;RM;Gallicano nel Lazio;40750;06 9548204;;;;https://www.paginegialle.it/gallicano-nel-lazio-rm/imprese-edili/restauri-mc-s-r-l-s
Ri.Pav. Semplificata;Via delle Nazioni Unite, 45;RM;Gallicano nel Lazio;40750;06 95460208;;;;https://www.paginegialle.it/gallicano-nel-lazio-rm/imprese-edili/ri-pav-societa-responsabilita-limitata-semplifica
Sabatino Costruzioni S.r.l.;Via Roma, 63;RM;Poli;64740;06 9551067;;;;https://www.paginegialle.it/poli-rm/imprese-edili/sabatino-costruzioni
Sa.Ma. Costruzioni;Via Colonnelle, 147;RM;Gallicano nel Lazio;40750;06 95463398, 06 9548136;;;;https://www.paginegialle.it/gallicano-nel-lazio-rm/imprese-edili/sa-ma-costruzioni
Sa.Ma. Costruzioni;Via III Novembre, 10;RM;Gallicano nel Lazio;40750;06 95463398;;;;https://www.paginegialle.it/gallicano-nel-lazio-rm/sa.ma.-costruzioni-societa-responsabilita
So.Ma.Co. S.r.l.;Via I Maggio, 2;RM;Montelibretti;54350;0774 609292, 329 4383186;329 4383186;;;https://www.paginegialle.it/montelibretti-rm/imprese-edili/so.ma.co.
Tozzi Riziero;Via Monte Gennaro, 84;RM;Marcellina;49260;0774 425496;;;;https://www.paginegialle.it/marcellina-rm/imprese-edili/tozzi-riziero
Vasea Costruzioni di Coman Vasilica;Via di Mondragone, 17;RM;Sant'Angelo Romano;72940;389 1173787;389 1173787;;;https://www.paginegialle.it/sant-angelo-romano-rm/imprese-edili/vasea-costruzioni-di-coman-vasilica
V.D.M. Costruzioni S.a.s. di Verrascina Vito & C.;Via Maremmana Inferiore, KM. 23.400;RM;San Polo dei Cavalieri;76650;0774 426049;;;;https://www.paginegialle.it/san-polo-dei-cavalieri-rm/imprese-edili/verrascina-vito-c
Petra Ecotrasporti Roma;Via del Linaro 1, 15;RM;Gallicano nel Lazio;40750;392 1715417, 371 3061313;392 1715417;burnellipietro68@gmail.com;https://www.petraecotrasporti.com;https://www.paginegialle.it/petraecotrasportiroma
Ciccotti A. Ceramiche Edilizia;Via Palombarese, 22, 800;RM;Sant'Angelo Romano;72940;0774 341663, 334 6402968;334 6402968;info@ciccottiaceramicheedilizia.it;https://www.ciccottiaceramicheedilizia.it;https://www.paginegialle.it/ciccottiaceramicheedilizia
C.E.M. Centro Edile Marcellina Societa a Responsabilita Limitat A;Via Stazione, 90;RM;Marcellina;49260;0774 424495;;;;https://www.paginegialle.it/marcellina-rm/materiali-edilizia/c.e.m.-centro-edile-marcellina-societa-responsabil
Ciccotti A. Ceramiche Edilizia;Km 22, 800, V. Palombarese;RM;Sant'Angelo Romano;72940;0774 341663;;;;https://www.paginegialle.it/sant-angelo-romano-rm/materiali-edilizia/ciccotti-a-s-r-l
Unicedil;Via della Tenuta del Cavaliere, 1;RM;Roma;70464;06 86979449;;;;https://www.paginegialle.it/roma-rm/imprese-edili/unicedil
